,Control_1,Hot_1,Control_2,Hot_2
isogroup100022,6,153,6,39
isogroup100108,11,28,7,33
isogroup100124,4,160,10,53
isogroup100150,6,182,24,52
isogroup100175,13,234,30,97
isogroup100212,4,52,4,36
isogroup100260,5,4,107,2
isogroup100363,3,111,12,48
isogroup100486,2,0,58,0
isogroup100532,13,57,7,59
isogroup100628,3,120,8,26
isogroup100677,5,67,7,69
isogroup100959,6,46,3,72
isogroup101118,5,26,13,47
isogroup101170,13,89,2,53
isogroup101213,3,129,7,38
isogroup101218,2,96,4,34
isogroup101638,1,81,4,19
isogroup101699,3,43,2,40
isogroup101742,18,23,7,1
isogroup101805,8,14,17,21
isogroup101808,18,1,13,0
isogroup101990,79,2,129,0
isogroup101993,5,150,14,34
isogroup102033,5,101,13,43
isogroup102243,8,241,10,56
isogroup102465,12,62,3,17
isogroup102599,40,163,28,127
isogroup102637,11,321,29,86
isogroup102730,7,259,31,73
isogroup102743,8,261,21,71
isogroup102783,96,2,42,0
isogroup102812,3,112,4,27
isogroup102930,10,274,15,53
isogroup102932,10,246,18,58
isogroup102996,256,4,220,1
isogroup103006,3,134,10,52
isogroup103090,0,100,10,20
isogroup103116,4,11,14,34
isogroup103201,8,200,11,38
isogroup103219,9,42,10,42
isogroup103236,2,40,5,6
isogroup103244,3,78,8,17
isogroup103378,1,0,2,0
isogroup103431,135,15,127,1
isogroup103627,3,243,20,100
isogroup103668,4,35,1,22
isogroup103715,9,188,23,66
isogroup103735,5,180,9,51
isogroup103750,2,129,24,40
isogroup103776,3,44,9,37
isogroup103797,41,101,40,22
isogroup103803,50,1180,86,203
isogroup103821,38,126,38,37
isogroup103864,35,317,5,19
isogroup103904,11,62,15,88
isogroup103948,25,250,43,61
isogroup104008,2,0,0,0
isogroup104240,21,146,14,96
isogroup104280,0,130,12,33
isogroup104329,4,0,62,0
isogroup104372,3,110,9,34
isogroup104531,4,29,11,31
isogroup104568,0,18,14,70
isogroup104631,9,50,5,6
isogroup104720,5,36,7,41
isogroup104918,3,68,10,25
isogroup104920,4,19,7,28
isogroup104938,0,40,3,32
isogroup105002,2,29,1,6
isogroup105005,0,63,6,11
isogroup105016,3,34,3,15
isogroup105166,3,17,7,18
isogroup105395,1,50,4,6
isogroup105415,3,6,2,16
isogroup105458,4,28,2,16
isogroup105610,2,45,2,13
isogroup105656,15,56,8,38
isogroup105702,7,36,10,22
isogroup105713,5,8,6,5
isogroup105813,0,4,19,30
isogroup106024,1,36,2,7
isogroup106030,5,22,3,21
isogroup106041,1,0,27,0
isogroup106071,9,25,2,16
isogroup106216,15,81,24,102
isogroup106223,7,14,3,7
