	fav_recoveryA	fav_recoveryB	fav_recoveryC	fav_stressA	fav_stressB	fav_stressC
isogroup0	70	5	59	26	9	6
isogroup100027	0	0	0	0	1	0
isogroup100029	0	0	0	1	0	0
isogroup100033	0	0	0	0	0	0
isogroup10004	5	0	0	3	0	2
isogroup100049	4	2	6	10	1	0
isogroup10007	61	0	13	7	11	1
isogroup100071	0	0	0	0	0	0
isogroup100084	10	5	0	3	4	3
isogroup100094	0	2	0	0	0	0
isogroup100107	22	2	2	5	2	4
isogroup100112	49	3	11	20	4	1
isogroup100161	0	0	0	0	0	0
isogroup100176	0	0	0	0	0	0
isogroup100181	0	0	0	0	0	0
isogroup100196	1	2	0	0	0	0
isogroup100233	0	0	0	0	0	0
isogroup100240	15	0	7	4	1	0
isogroup100253	0	0	0	0	0	0
isogroup100286	1	0	0	0	0	0
isogroup100287	0	0	0	0	0	0
isogroup10029	0	0	0	0	0	0
isogroup100297	0	0	0	0	1	0
isogroup100312	5	1	2	2	0	0
isogroup100314	0	0	0	0	0	0
isogroup100343	16	1	5	2	0	0
isogroup100354	12	1	2	2	1	0
isogroup100357	0	0	2	0	0	0
isogroup100376	5	0	0	0	0	0
isogroup10039	15	2	10	9	3	0
isogroup100393	16	0	0	1	4	0
isogroup100408	0	0	0	1	0	0
isogroup100415	6	0	0	3	0	0
isogroup100419	46	3	27	16	9	12
isogroup100429	0	0	0	1	2	0
isogroup100447	1	0	0	0	0	0
isogroup100459	0	0	0	0	0	0
isogroup100468	9	0	0	6	0	0
isogroup100479	12	1	1	0	0	0
isogroup100505	9	0	7	6	2	0
isogroup100515	8	0	2	0	0	10
isogroup10053	7	5	0	2	0	0
isogroup100532	18	0	2	5	2	0
isogroup10054	9	0	0	1	0	0
isogroup100561	6	0	0	0	1	0
isogroup10057	334	55	111	46	17	11
isogroup100571	0	0	0	0	0	0
isogroup100576	1	0	0	0	0	0
isogroup100578	35	7	17	8	2	0
isogroup10058	2	0	0	1	0	2
isogroup100588	1	0	0	0	0	0
isogroup100589	5	0	10	0	0	0
isogroup100591	0	0	0	0	0	0
