	fav_recoveryA	fav_recoveryB	fav_recoveryC	fav_stressA	fav_stressB	fav_stressC
symcomp10000	10	24	8	5	1	0
symcomp10001	6	29	10	14	11	0
symcomp10002	4	20	3	16	4	0
symcomp10003	4	33	4	15	7	3
symcomp10005	5	1	5	2	0	0
symcomp100051	0	0	0	0	1	0
symcomp10006	1	1	0	0	0	0
symcomp10009	4	8	1	2	4	0
symcomp1001	0	1	0	0	1	0
symcomp10010	10	31	2	32	11	2
symcomp10013	19	15	7	28	18	0
symcomp10014	47	136	65	208	116	14
symcomp10016	9	34	18	17	6	0
symcomp10017	1	16	3	4	0	0
symcomp100187	1	12	4	1	1	0
symcomp10019	35	103	43	86	44	6
symcomp1002	0	0	1	1	0	0
symcomp10021	0	2	0	0	0	0
symcomp100238	0	0	0	0	0	0
symcomp10024	0	0	0	0	0	0
symcomp10025	0	0	1	2	0	0
symcomp10031	0	0	0	0	0	0
symcomp10032	1	17	0	0	0	0
symcomp10034	6	27	4	19	25	5
symcomp10037	0	0	0	0	1	0
symcomp10038	1	0	1	1	0	0
symcomp10040	5	13	3	10	6	1
symcomp10042	6	12	7	18	8	1
symcomp100452	0	0	0	0	1	0
symcomp10046	9	29	6	3	10	0
symcomp10047	1	5	7	8	3	0
symcomp10051	0	12	5	4	0	0
symcomp10055	0	0	0	0	0	0
symcomp10057	4	7	3	2	6	0
symcomp10059	0	0	0	0	1	0
symcomp100591	0	0	1	0	0	0
symcomp10062	8	39	6	22	12	0
symcomp10064	0	0	0	1	0	0
symcomp10065	4	12	0	10	5	0
symcomp10068	0	0	0	0	0	0
symcomp100686	0	1	1	1	0	0
symcomp10071	25	42	11	23	37	1
symcomp10074	4	6	5	1	1	0
symcomp10076	2	2	2	6	5	0
symcomp10077	0	0	0	1	0	0
symcomp10079	0	0	0	0	0	0
symcomp10080	0	0	0	0	0	0
symcomp10082	0	0	0	0	0	1
symcomp10083	3	16	4	8	8	0
symcomp10084	0	0	0	2	0	0
symcomp10085	0	0	0	0	0	0
symcomp10089	0	0	1	2	3	0
symcomp10092	1	2	1	0	0	0
symcomp10094	0	0	0	0	3	0
symcomp10097	14	44	17	30	17	11
symcomp10098	0	3	1	0	0	0
symcomp10099	12	22	4	17	15	0
symcomp10102	0	0	0	0	0	0
symcomp10105	1	10	0	12	1	0
symcomp10106	1	0	0	0	0	0
