	NN1	NN2	NN3	UU1	UU2	UU3
SPU_016802	1	0	0	0	0	0
SPU_001114	2	3	5	0	1	0
SPU_017127	0	0	3	1	1	0
SPU_017128	281	227	277	218	165	111
ENSRNA022746508	0	0	0	2	0	0
SPU_023838	4	4	3	1	2	2
SPU_010035	58	58	77	55	51	42
ENSRNA022746505	0	0	0	0	0	0
SPU_001332	467	427	510	371	297	189
SPU_010036	6	7	16	3	4	4
ENSRNA022746499	0	1	0	0	0	0
SPU_027030	0	0	0	0	0	0
SPU_001333	3	2	0	5	3	2
SPU_017211	1	1	0	3	0	2
SPU_009849	3461	3678	3872	2745	2185	1518
SPU_020555	0	1	0	1	0	0
SPU_025521	4	3	4	3	4	0
SPU_025520	485	530	459	528	501	501
SPU_025459	3	0	6	2	5	4
SPU_025806	77	117	113	60	26	15
SPU_006634	83	84	81	65	60	23
SPU_022699	7	6	4	3	3	1
SPU_006635	221	221	244	208	201	133
SPU_023603	50	30	45	65	52	49
SPU_023604	49	49	40	45	18	33
SPU_007235	4	3	3	8	6	3
SPU_007236	0	0	0	0	0	0
SPU_007234	143	150	165	130	83	64
SPU_007233	39	61	53	31	34	27
SPU_002656	42	29	51	35	27	19
SPU_002657	62	57	43	77	45	56
SPU_002658	0	1	3	6	1	1
SPU_002659	4	2	4	1	0	2
SPU_002655	788	780	815	1051	965	915
SPU_002654	18	16	15	14	13	12
SPU_002660	351	307	343	301	249	196
SPU_015568	179	185	183	193	145	108
SPU_015569	2	2	0	5	1	6
SPU_015570	1	1	0	0	0	0
SPU_002661	2	2	0	0	0	2
SPU_015571	0	0	0	0	0	0
SPU_013393	132	109	81	154	104	69
SPU_006396	51	30	32	34	53	20
SPU_002662	589	590	593	528	405	351
SPU_002663	12	15	14	15	20	9
SPU_012141	5	5	13	6	3	1
SPU_013394	0	0	0	1	1	0
SPU_002021	0	0	0	0	0	0
SPU_018510	960	967	1046	975	898	697
SPU_013588	64	51	66	26	29	8
SPU_025027	156	162	237	188	126	81
SPU_003157	76	91	81	100	89	94
SPU_023901	0	1	0	0	0	0
SPU_007388	6	1	0	2	9	4
SPU_002013	95	104	130	106	73	43
SPU_007386	192	175	175	257	212	174
SPU_007387	433	477	440	657	455	448
SPU_025032	81	115	100	89	77	82
SPU_002012	882	1152	1045	1033	1032	904
SPU_002011	1449	1553	1650	1585	1263	1035
SPU_025033	0	0	8	1	0	0
SPU_009911	628	808	747	688	592	665
SPU_002010	0	0	0	3	2	1
SPU_026942	1	2	7	3	4	1
SPU_002020	0	0	0	0	0	0
SPU_026943	62	86	71	44	37	25
SPU_026944	16140	16888	16939	12318	11440	10557
SPU_026941	6	6	2	0	5	4
ENSRNA022743907	0	1	0	0	0	0
SPU_000855	0	0	2	1	1	0
SPU_026883	0	0	1	0	0	0
SPU_001093	0	0	0	3	4	1
SPU_021893	30	15	27	14	13	3
SPU_022833	106	98	126	92	55	39
SPU_023684	1	3	4	3	4	3
SPU_006127	8	12	14	10	12	24
SPU_020944	39	22	17	37	30	10
SPU_025536	25	45	18	14	13	12
SPU_020674	1	0	0	0	0	0
SPU_027231	249	204	234	208	137	111
SPU_021212	574	527	580	465	418	253
SPU_005112	4	4	2	5	3	3
SPU_005663	0	0	0	0	0	0
