Run,Sample Name,,,
SRR2298846,South Molle (SM),day -1,27C,sensitive
SRR2298847,South Molle (SM),day -1,27C,sensitive
SRR2298848,South Molle (SM),day -1,27C,sensitive
SRR2298849,South Molle (SM),day -1,27C,sensitive
SRR2298850,South Molle (SM),day -1,27C,sensitive
SRR2298851,South Molle (SM),day -1,27C,sensitive
SRR2298852,South Molle (SM),day -1,27C,sensitive
SRR2298853,South Molle (SM),day -1,27C,sensitive
SRR2298854,South Molle (SM),day 9,32C,sensitive
SRR2298855,South Molle (SM),day 9,32C,sensitive
SRR2298856,South Molle (SM),day 9,27C,sensitive
SRR2298857,South Molle (SM),day 9,27C,sensitive
SRR2298858,South Molle (SM),day 9,32C,sensitive
SRR2298859,South Molle (SM),day 9,32C,sensitive
SRR2298860,South Molle (SM),day 9,27C,sensitive
SRR2298861,South Molle (SM),day 9,27C,sensitive
SRR2298862,South Molle (SM),day 13,32C,sensitive
SRR2298863,South Molle (SM),day 13,32C,sensitive
SRR2298864,South Molle (SM),day 13,27C,sensitive
SRR2298865,South Molle (SM),day 13,27C,sensitive
SRR2298866,South Molle (SM),day 13,32C,sensitive
SRR2298867,South Molle (SM),day 13,32C,sensitive
SRR2298868,South Molle (SM),day 13,27C,sensitive
SRR2298869,South Molle (SM),day 13,27C,sensitive
SRR2298870,Magnetic Island (MI),day -1,27C,tolerant
SRR2298871,Magnetic Island (MI),day -1,27C,tolerant
SRR2298872,Magnetic Island (MI),day -1,27C,tolerant
SRR2298873,Magnetic Island (MI),day -1,27C,tolerant
SRR2298874,Magnetic Island (MI),day -1,27C,tolerant
SRR2298875,Magnetic Island (MI),day -1,27C,tolerant
SRR2298876,Magnetic Island (MI),day -1,27C,tolerant
SRR2298877,Magnetic Island (MI),day -1,27C,tolerant
SRR2298878,Magnetic Island (MI),day 9,32C,tolerant
SRR2298879,Magnetic Island (MI),day 9,32C,tolerant
SRR2298880,Magnetic Island (MI),day 9,27C,tolerant
SRR2298881,Magnetic Island (MI),day 9,27C,tolerant
SRR2298882,Magnetic Island (MI),day 9,32C,tolerant
SRR2298883,Magnetic Island (MI),day 9,32C,tolerant
SRR2298884,Magnetic Island (MI),day 9,27C,tolerant
SRR2298885,Magnetic Island (MI),day 9,27C,tolerant
SRR2298886,Magnetic Island (MI),day 13,32C,tolerant
SRR2298887,Magnetic Island (MI),day 13,32C,tolerant
SRR2298888,Magnetic Island (MI),day 13,27C,tolerant
SRR2298889,Magnetic Island (MI),day 13,27C,tolerant
SRR2298890,Magnetic Island (MI),day 13,32C,tolerant
SRR2298891,Magnetic Island (MI),day 13,32C,tolerant
SRR2298892,Magnetic Island (MI),day 13,27C,tolerant
SRR2298893,Magnetic Island (MI),day 13,27C,tolerant
