woops,,,,,,,,,,,,,,,,,,,,,,
Site,Date,Transect,Sample #,# leaves,Leaf Width (cm),Leaf length (cm),Sheath Length (cm),Leaf Mass (g),Internode Length (cm),Aboveground mass (cm),Belowground Mass (g),Aboveground to Belowground Mass (g),WD 1 (%),WD 2 (%),WD 3 (%),WD 4 (%),WD 5 (%),WD 6 (%),WD 7 (%),Average WD (%),Second leaf,leaf area
Annisquam,10/3/2019,A,1,5,0.5,25.5,6.8,0.192,2.7,0.881,0.624,1.411858974,30,5,0,10,10,N/A,N/A,11,1.275,12.75
Annisquam,10/3/2019,A,2,4,0.4,24.7,7.3,0.195,1.5,1.442,0.334,4.317365269,10,0,2,0,30,N/A,N/A,8.4,0,9.88
Annisquam,10/3/2019,A,3,5,0.5,28.1,8.4,0.268,1.5,2.119,0.771,2.748378729,20,5,10,20,0,N/A,N/A,11,1.405,14.05
Annisquam,10/3/2019,A,4,5,0.4,25.9,7.7,0.116,1.2,1.069,0.463,2.308855292,0,0,1,5,N/A,N/A,N/A,1.5,0,10.36
Annisquam,10/3/2019,A,5,4,0.5,28.5,6.7,0.199,2.4,1.31,0.778,1.683804627,0,80,3,3,N/A,N/A,N/A,21.5,22.8,14.25
Annisquam,10/3/2019,A,6,6,0.6,31,7.3,0.497,1.8,2.075,0.826,2.512106538,0,0,5,0,0,0,N/A,0.833,0,18.6
Annisquam,10/3/2019,A,7,4,0.4,12.8,4.5,0.679,1.2,0.491,0.651,0.75422427,0,0,5,2,N/A,N/A,N/A,1.75,0,5.12
Annisquam,10/3/2019,A,8,6,0.5,26,8.5,0.259,5,1.918,0.755,2.540397351,0,0,2,3,0,1,N/A,1,0,13
Annisquam,10/3/2019,A,9,6,0.4,22.7,8,0.181,1.6,1.086,0.654,1.660550459,5,0,10,0,0,30,N/A,7.5,0,9.08
Annisquam,10/3/2019,A,10,5,0.4,22.4,7.6,0.202,1.2,1.279,0.606,2.110561056,0,1,1,1,0,N/A,N/A,0.6,0.224,8.96
Annisquam,10/3/2019,B,1,4,0.5,63.5,18.5,1.744,1.7,6.128,2.041,3.00244978,1,0,15,15,N/A,N/A,N/A,7.75,0,31.75
Annisquam,10/3/2019,B,2,5,0.5,29.2,9.3,0.536,2.4,1.919,0.642,2.989096573,0,1,1,2,0,N/A,N/A,0.8,0.292,14.6
Annisquam,10/3/2019,B,3,5,0.5,26.5,10.6,0.269,2.2,1.44,0.417,3.45323741,0,0,0,0,0,N/A,N/A,0.0000001,0,13.25
