isogroup283428	Phosphomethylpyrimidine synthase, chloroplastic OS=Arabidopsis thaliana GN=THIC PE=1 SV=1 E(blastx)=6e-71
isogroup218718	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Xenopus tropicalis GN=uap1l1 PE=2 SV=1 E(blastx)=1e-32
isogroup45613	Cysteine desulfurase, mitochondrial OS=Mus musculus GN=Nfs1 PE=2 SV=3 E(blastx)=6e-167
isogroup218953	Modification methylase NgoBI OS=Neisseria gonorrhoeae GN=ngoBIM PE=3 SV=2 E(blastx)=1e-10
isogroup269336	Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Danio rerio GN=pgam5 PE=2 SV=2 E(blastx)=1e-09
isogroup35073	D-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Danio rerio GN=d2hgdh PE=2 SV=1 E(blastx)=2e-155
isogroup115605	UDP-glucuronosyltransferase 2B1 OS=Rattus norvegicus GN=Ugt2b1 PE=2 SV=1 E(blastx)=9e-20
isogroup96902	Probable serine/threonine-protein kinase dyrk2 OS=Dictyostelium discoideum GN=dyrk2 PE=3 SV=1 E(blastx)=7e-29
isogroup283502	Phosphoserine phosphatase OS=Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126) GN=AF_2138 PE=3 SV=1 E(blastx)=2e-18
isogroup198321	Serine/threonine-protein phosphatase T OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PPT1 PE=1 SV=1 E(blastx)=3e-29
isogroup114643	DnaJ protein ERDJ3B OS=Arabidopsis thaliana GN=ERDJ3B PE=1 SV=1 E(blastx)=3e-16
isogroup47942	Probable inactive leucine-rich repeat receptor-like protein kinase At1g66830 OS=Arabidopsis thaliana GN=At1g66830 PE=2 SV=1 E(blastx)=7e-12
isogroup291144	Bystin OS=Monosiga brevicollis GN=bysl PE=3 SV=1 E(blastx)=6e-106
