isogroup249823	Putative E3 ubiquitin-protein ligase UBR7 OS=Homo sapiens GN=UBR7 PE=1 SV=2 E(blastx)=2e-125
isogroup245320	72 kDa type IV collagenase OS=Oryctolagus cuniculus GN=MMP2 PE=2 SV=1 E(blastx)=4e-21
isogroup255227	Heat shock 70 kDa protein 12A OS=Mus musculus GN=Hspa12a PE=1 SV=1 E(blastx)=1e-32
isogroup222825	Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3 E(blastx)=4e-25
isogroup254025	Inositol monophosphatase 2 OS=Homo sapiens GN=IMPA2 PE=1 SV=1 E(blastx)=5e-97
isogroup232055	Probable D-tyrosyl-tRNA(Tyr) deacylase 2 OS=Mus musculus GN=Dtd2 PE=2 SV=1 E(blastx)=2e-62
isogroup245448	Probable glutathione S-transferase 8 OS=Caenorhabditis elegans GN=gst-8 PE=1 SV=1 E(blastx)=2e-26
isogroup221466	Probably inactive leucine-rich repeat receptor-like protein kinase At2g25790 OS=Arabidopsis thaliana GN=At2g25790 PE=2 SV=1 E(blastx)=1e-90
isogroup214879	Adrenocorticotropic hormone receptor OS=Sus scrofa GN=MC2R PE=2 SV=1 E(blastx)=4e-14
isogroup261984	Pogo transposable element with KRAB domain OS=Mus musculus GN=Pogk PE=2 SV=2 E(blastx)=3e-27
isogroup230733	Vesicle-trafficking protein SEC22b-B OS=Danio rerio GN=sec22bb PE=2 SV=1 E(blastx)=1e-69
isogroup229610	Integrin alpha-D OS=Rattus norvegicus GN=Itgad PE=2 SV=1 E(blastx)=8e-13
isogroup280989	Probable peptidyl-prolyl cis-trans isomerase OS=Brucella abortus biovar 1 (strain 9-941) GN=ppi PE=3 SV=1 E(blastx)=1e-14
isogroup250413	Cryptochrome-2 OS=Homo sapiens GN=CRY2 PE=1 SV=2 E(blastx)=4e-144
isogroup182070	Probable prolyl 4-hydroxylase 6 OS=Arabidopsis thaliana GN=P4H6 PE=2 SV=1 E(blastx)=1e-16
isogroup41216	Pancreatic triacylglycerol lipase (Fragment) OS=Myocastor coypus GN=PNLIP PE=2 SV=1 E(blastx)=6e-25
isogroup232436	cGMP-dependent protein kinase, isozyme 1 OS=Drosophila melanogaster GN=Pkg21D PE=1 SV=2 E(blastx)=4e-56
isogroup217580	Proteasome subunit beta type-5 OS=Rattus norvegicus GN=Psmb5 PE=1 SV=3 E(blastx)=1e-122
isogroup259655	WD repeat-containing protein 91 OS=Gallus gallus GN=WDR91 PE=2 SV=1 E(blastx)=2e-98
isogroup249386	Putative nuclease HARBI1 OS=Homo sapiens GN=HARBI1 PE=1 SV=1 E(blastx)=6e-20
