isogroup141339	Protein HIRA OS=Gallus gallus GN=HIRA PE=1 SV=2 E(blastx)=7e-34
isogroup71425	ATPase ASNA1 homolog OS=Nematostella vectensis GN=v1g161623 PE=3 SV=1 E(blastx)=5e-108
isogroup58561	Cullin-2 OS=Caenorhabditis elegans GN=cul-2 PE=1 SV=3 E(blastx)=3e-166
isogroup60863	Valine--tRNA ligase OS=Takifugu rubripes GN=vars PE=3 SV=1 E(blastx)=7e-147
isogroup51466	U1 snRNP-associated protein usp106 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=usp106 PE=1 SV=1 E(blastx)=9e-20
isogroup36231	Tyrosinase OS=Gallus gallus GN=TYR PE=2 SV=1 E(blastx)=3e-118
isogroup29756	E3 ubiquitin-protein ligase RNF103 OS=Rattus norvegicus GN=Rnf103 PE=2 SV=1 E(blastx)=1e-07
isogroup54788	DNA replication licensing factor MCM4 OS=Homo sapiens GN=MCM4 PE=1 SV=5 E(blastx)=3e-22
isogroup39702	YTH domain-containing family protein 1 OS=Mus musculus GN=Ythdf1 PE=1 SV=1 E(blastx)=4e-89
isogroup38715	STIP1 homology and U box-containing protein 1 OS=Gallus gallus GN=STUB1 PE=2 SV=1 E(blastx)=3e-49
isogroup39767	Kinesin-like protein KIF13A OS=Mus musculus GN=Kif13a PE=1 SV=1 E(blastx)=4e-83
isogroup125426	ADP,ATP carrier protein 3, mitochondrial OS=Arabidopsis thaliana GN=AAC3 PE=1 SV=1 E(blastx)=9e-31
isogroup44765	Ephrin-B2 OS=Homo sapiens GN=EFNB2 PE=1 SV=1 E(blastx)=2e-09
isogroup72943	Protein phosphatase 1 regulatory subunit 27 OS=Mus musculus GN=Ppp1r27 PE=2 SV=1 E(blastx)=6e-13
isogroup147431	WD repeat-containing protein 35 OS=Mus musculus GN=Wdr35 PE=1 SV=3 E(blastx)=1e-39
isogroup89414	Ubiquitin carboxyl-terminal hydrolase 36 OS=Mus musculus GN=Usp36 PE=1 SV=1 E(blastx)=6e-34
isogroup123093	WD repeat domain phosphoinositide-interacting protein 4 OS=Homo sapiens GN=WDR45 PE=2 SV=1 E(blastx)=1e-24
isogroup50381	Lysosomal Pro-X carboxypeptidase OS=Homo sapiens GN=PRCP PE=1 SV=1 E(blastx)=9e-47
isogroup3583	Pre-B-cell leukemia transcription factor 1 OS=Xenopus tropicalis GN=pbx1 PE=2 SV=1 E(blastx)=2e-46
isogroup44206	Synaptotagmin-7 OS=Homo sapiens GN=SYT7 PE=1 SV=3 E(blastx)=2e-30
isogroup141306	Paired amphipathic helix protein Sin3a OS=Mus musculus GN=Sin3a PE=1 SV=3 E(blastx)=2e-34
isogroup115764	Low-density lipoprotein receptor-related protein 2 OS=Mus musculus GN=Lrp2 PE=1 SV=1 E(blastx)=7e-17
isogroup21638	Eukaryotic translation initiation factor 3 subunit C OS=Xenopus laevis GN=eif3c PE=2 SV=1 E(blastx)=3e-43
isogroup7635	Tripeptidyl-peptidase 2 OS=Bos taurus GN=TPP2 PE=2 SV=1 E(blastx)=1e-70
isogroup34392	Protein cornichon homolog 1 OS=Pongo abelii GN=CNIH1 PE=2 SV=1 E(blastx)=5e-75
isogroup139156	E3 ubiquitin-protein ligase TRIM71 OS=Danio rerio GN=trim71 PE=2 SV=1 E(blastx)=2e-08
isogroup6679	Protein KIAA0100 OS=Mus musculus GN=Kiaa0100 PE=1 SV=1 E(blastx)=3e-98
isogroup30817	Polycystic kidney disease protein 1-like 2 OS=Mus musculus GN=Pkd1l2 PE=2 SV=1 E(blastx)=9e-19
isogroup1918	7,8-dihydro-8-oxoguanine triphosphatase OS=Rattus norvegicus GN=Nudt1 PE=1 SV=1 E(blastx)=2e-43
isogroup64908	Ubiquitin-like domain-containing CTD phosphatase 1 OS=Xenopus tropicalis GN=ublcp1 PE=2 SV=1 E(blastx)=5e-76
isogroup42478	Protein FAM69C OS=Homo sapiens GN=FAM69C PE=2 SV=3 E(blastx)=2e-45
